Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
September 30 2021,Missoula,MT,Passenger,1,0,1,61,62,1.61
November 30 2024,Cuyahoga,OH,Passenger,1,0,1,34,35,2.86
December 31 2024,Marin,CA,Passenger,1,2,3,32,35,8.57
February 29 2020,Queens,NY,Passenger,1,0,1,55,56,1.79
November 30 2021,Snohomish,WA,Truck,2,0,2,125581,125583,0
March 31 2019,Pinal,AZ,Passenger,2,0,2,211,213,0.94
March 31 2024,Richmond,GA,Passenger,0,1,1,52,53,1.89
December 31 2021,Pulaski,MO,Passenger,2,0,2,128,130,1.54
July 31 2019,DeKalb,IN,Passenger,1,0,1,1,2,50
August 31 2017,Pinal,AZ,Passenger,2,0,2,236,238,0.84
December 31 2024,Carroll,MD,Passenger,0,1,1,11,12,8.33
October 31 2018,Sumter,FL,Passenger,0,1,1,10,11,9.09
July 31 2023,Sacramento,CA,Truck,1,0,1,32,33,3.03
October 31 2023,Island,WA,Truck,32,0,32,20825,20857,0.15
August 31 2017,Manatee,FL,Passenger,1,0,1,45,46,2.17
September 30 2019,Stafford,VA,Passenger,1,1,2,106,108,1.85
June 30 2022,Middlesex,MA,Passenger,2,0,2,98,100,2
April 30 2021,Dakota,MN,Passenger,0,1,1,28,29,3.45
August 31 2021,Pennington,SD,Passenger,1,0,1,33,34,2.94
April 30 2021,Jones,GA,Passenger,1,0,1,1,2,50
April 30 2017,Clallam,WA,Passenger,80,68,148,48114,48262,0.31
August 31 2024,Lincoln,WA,Passenger,30,29,59,7559,7618,0.77
July 31 2023,DuPage,IL,Passenger,3,1,4,40,44,9.09
June 30 2021,Kings,CA,Passenger,1,0,1,317,318,0.31
August 31 2019,Stafford,VA,Passenger,1,1,2,107,109,1.83
October 31 2021,Rockingham,NH,Passenger,1,0,1,26,27,3.7
February 28 2025,Cowlitz,WA,Passenger,847,320,1167,67756,68923,1.69
October 31 2020,San Diego,CA,Passenger,16,2,18,2739,2757,0.65
July 31 2021,Fairfax,VA,Passenger,5,3,8,716,724,1.1
March 31 2021,Anne Arundel,MD,Passenger,2,1,3,390,393,0.76
November 30 2017,Orange,FL,Passenger,1,1,2,153,155,1.29
February 28 2025,Garfield,WA,Truck,0,0,0,960,960,0
October 31 2020,Suffolk,VA,Passenger,1,0,1,129,130,0.77
June 30 2021,Orange,NC,Passenger,1,0,1,12,13,7.69
August 31 2017,Norfolk,MA,Passenger,1,0,1,41,42,2.38
July 31 2023,San Luis Obispo,CA,Passenger,1,1,2,52,54,3.7
November 30 2020,Virginia Beach,VA,Passenger,1,0,1,653,654,0.15
December 31 2019,Dallas,TX,Passenger,1,0,1,220,221,0.45
August 31 2020,Hennepin,MN,Passenger,3,0,3,102,105,2.86
August 31 2021,Hawaii,HI,Passenger,1,0,1,52,53,1.89
April 30 2018,Essex,MA,Passenger,1,0,1,26,27,3.7
January 31 2022,Camden,NJ,Passenger,0,1,1,14,15,6.67
July 31 2018,Yakima,WA,Passenger,65,93,158,163933,164091,0.1
February 28 2021,Grays Harbor,WA,Passenger,142,129,271,48769,49040,0.55
December 31 2019,Ferry,WA,Passenger,5,2,7,4401,4408,0.16
November 30 2019,Ventura,CA,Passenger,0,2,2,320,322,0.62
July 31 2017,Garfield,WA,Truck,0,0,0,925,925,0
December 31 2024,Solano,CA,Passenger,4,0,4,139,143,2.8
August 31 2019,Moore,NC,Passenger,0,1,1,185,186,0.54
August 31 2021,Hanover,VA,Passenger,1,0,1,3,4,25
November 30 2021,Ferry,WA,Passenger,13,3,16,4454,4470,0.36
July 31 2021,Eagle,CO,Passenger,1,0,1,8,9,11.11
October 31 2023,Whatcom,WA,Truck,77,0,77,42487,42564,0.18
May 31 2019,Okanogan,WA,Truck,0,0,0,16503,16503,0
June 30 2024,Asotin,WA,Passenger,50,26,76,12261,12337,0.62
June 30 2021,San Joaquin,CA,Passenger,1,0,1,119,120,0.83
June 30 2024,San Diego,CA,Passenger,24,6,30,1958,1988,1.51
May 31 2017,Kent,MI,Passenger,0,1,1,37,38,2.63
November 30 2022,DuPage,IL,Passenger,2,1,3,49,52,5.77
September 30 2023,Nassau,NY,Passenger,2,0,2,25,27,7.41
May 31 2024,Pierce,WA,Truck,306,0,306,133516,133822,0.23
September 30 2022,Whatcom,WA,Truck,14,0,14,43045,43059,0.03
August 31 2022,Sarpy,NE,Passenger,1,0,1,66,67,1.49
June 30 2020,Monterey,CA,Passenger,1,2,3,173,176,1.7
June 30 2021,Danville,VA,Passenger,1,0,1,0,1,100
September 30 2023,New York,NY,Passenger,3,0,3,36,39,7.69
October 31 2018,Prince William,VA,Passenger,0,5,5,254,259,1.93
February 29 2024,Berkeley,SC,Passenger,2,1,3,103,106,2.83
July 31 2022,Hillsborough,FL,Passenger,1,0,1,148,149,0.67
April 30 2022,Burlington,NJ,Passenger,0,2,2,105,107,1.87
January 31 2022,Bexar,TX,Passenger,2,4,6,541,547,1.1
February 28 2021,Tulsa,OK,Passenger,1,0,1,58,59,1.69
June 30 2019,Franklin,WA,Passenger,51,69,120,59885,60005,0.2
November 30 2020,San Juan,WA,Truck,0,0,0,5863,5863,0
December 31 2024,Snohomish,WA,Truck,595,0,595,117614,118209,0.5
August 31 2023,Cook,IL,Passenger,3,2,5,182,187,2.67
January 31 2020,Washington,OR,Passenger,1,0,1,489,490,0.2
February 28 2022,Jefferson,NY,Passenger,1,0,1,209,210,0.48
April 30 2019,Hennepin,MN,Passenger,2,0,2,113,115,1.74
June 30 2024,Monterey,CA,Passenger,1,5,6,119,125,4.8
August 31 2021,Norfolk,VA,Passenger,2,3,5,300,305,1.64
June 30 2022,San Mateo,CA,Passenger,3,0,3,103,106,2.83
November 30 2024,New York,NY,Passenger,3,0,3,22,25,12
October 31 2024,Newport News,VA,Passenger,1,0,1,81,82,1.22
September 30 2020,Cumberland,NC,Passenger,1,3,4,463,467,0.86
December 31 2023,Williamsburg,VA,Passenger,0,1,1,5,6,16.67
November 30 2024,Okanogan,WA,Passenger,211,102,313,25702,26015,1.2
January 31 2020,Alameda,CA,Passenger,4,1,5,302,307,1.63
March 31 2017,Yakima,WA,Truck,0,0,0,57255,57255,0
October 31 2024,Alameda,CA,Passenger,6,1,7,143,150,4.67
April 30 2024,Nueces,TX,Passenger,2,1,3,55,58,5.17
September 30 2020,Santa Clara,CA,Passenger,9,2,11,308,319,3.45
July 31 2020,Montgomery,TX,Passenger,1,0,1,56,57,1.75
February 28 2018,Sumter,FL,Passenger,0,1,1,10,11,9.09
April 30 2024,Snohomish,WA,Truck,333,0,333,120093,120426,0.28
October 31 2019,Grays Harbor,WA,Truck,0,0,0,20720,20720,0
November 30 2018,Columbia,WA,Truck,0,0,0,1516,1516,0
November 30 2018,Clallam,WA,Passenger,147,117,264,50318,50582,0.52
July 31 2022,San Mateo,CA,Passenger,3,0,3,99,102,2.94
December 31 2022,Isle of Wight,VA,Passenger,0,1,1,18,19,5.26
March 31 2024,Medina,TX,Passenger,1,0,1,5,6,16.67
December 31 2021,Spokane,WA,Passenger,1306,750,2056,326747,328803,0.63
January 31 2021,Nassau,FL,Passenger,1,0,1,39,40,2.5
February 28 2021,Arapahoe,CO,Passenger,1,0,1,132,133,0.75
September 30 2024,Suffolk,MA,Passenger,2,1,3,24,27,11.11
March 31 2022,Jefferson,WA,Passenger,408,209,617,24648,25265,2.44
September 30 2021,Walla Walla,WA,Passenger,128,80,208,36392,36600,0.57
November 30 2022,Bexar,TX,Passenger,4,3,7,473,480,1.46
February 28 2018,Columbia,WA,Truck,0,0,0,1535,1535,0
February 29 2020,Whitman,WA,Truck,0,0,0,8553,8553,0
June 30 2017,Prince William,VA,Passenger,0,4,4,271,275,1.45
December 31 2020,Bradley,TN,Passenger,1,0,1,0,1,100
July 31 2022,Pierce,WA,Truck,20,0,20,140901,140921,0.01
September 30 2019,Alameda,CA,Passenger,3,1,4,309,313,1.28
February 29 2020,Washoe,NV,Passenger,1,0,1,120,121,0.83
January 31 2025,Ada,ID,Passenger,1,0,1,86,87,1.15
November 30 2020,Snohomish,WA,Truck,0,0,0,125413,125413,0
May 31 2018,Pend Oreille,WA,Truck,0,0,0,5673,5673,0
November 30 2024,Ferry,WA,Passenger,28,4,32,4151,4183,0.77
May 31 2020,Garfield,WA,Passenger,0,1,1,1347,1348,0.07
December 31 2022,Washington,WI,Passenger,1,0,1,1,2,50
February 28 2025,Whatcom,WA,Passenger,4041,1408,5449,143972,149421,3.65
May 31 2019,Jefferson,NY,Passenger,0,1,1,218,219,0.46
January 31 2025,Gwinnett,GA,Passenger,2,0,2,44,46,4.35
July 31 2023,Columbia,WA,Truck,0,0,0,1542,1542,0
February 28 2025,District of Columbia,DC,Passenger,3,1,4,127,131,3.05
September 30 2022,Oldham,KY,Passenger,0,1,1,5,6,16.67
August 31 2018,Ramsey,MN,Passenger,1,0,1,46,47,2.13
July 31 2017,Wayne,MI,Passenger,0,1,1,70,71,1.41
April 30 2018,Northampton,PA,Passenger,0,1,1,61,62,1.61
February 29 2020,Vigo,IN,Passenger,1,0,1,5,6,16.67
August 31 2024,Dallas,TX,Truck,1,0,1,10,11,9.09
November 30 2021,Hanover,VA,Passenger,1,0,1,3,4,25
June 30 2018,Mason,WA,Passenger,82,89,171,45694,45865,0.37
January 31 2019,Clackamas,OR,Passenger,1,1,2,226,228,0.88
February 28 2017,Pinal,AZ,Passenger,2,0,2,271,273,0.73
September 30 2020,Cameron,TX,Passenger,1,0,1,24,25,4
September 30 2023,Marion,IN,Passenger,1,0,1,31,32,3.12
March 31 2019,Flathead,MT,Passenger,1,0,1,69,70,1.43
March 31 2021,Hawaii,HI,Passenger,1,0,1,54,55,1.82
December 31 2022,Lincoln,WA,Passenger,12,18,30,7747,7777,0.39
May 31 2018,Williamson,TX,Passenger,0,1,1,175,176,0.57
October 31 2018,Prince George,VA,Passenger,0,1,1,75,76,1.32
December 31 2017,Wahkiakum,WA,Truck,0,0,0,1670,1670,0
August 31 2021,Currituck,NC,Passenger,1,0,1,25,26,3.85
April 30 2024,Charles,MD,Passenger,1,1,2,55,57,3.51
September 30 2024,Maricopa,AZ,Passenger,9,1,10,620,630,1.59
December 31 2020,San Mateo,CA,Passenger,2,1,3,127,130,2.31
December 31 2019,Allegheny,PA,Passenger,2,0,2,87,89,2.25
September 30 2022,Suffolk,VA,Passenger,1,0,1,126,127,0.79
April 30 2023,Orange,FL,Passenger,3,0,3,81,84,3.57
December 31 2021,King,WA,Passenger,35416,10190,45606,1357100,1402706,3.25
March 31 2020,Grant,WA,Passenger,58,70,128,65464,65592,0.2
February 29 2020,Fairfax,VA,Passenger,5,2,7,762,769,0.91
August 31 2020,Stafford,VA,Passenger,1,1,2,101,103,1.94
August 31 2021,Hudson,NJ,Passenger,1,0,1,44,45,2.22
August 31 2024,Jefferson,KY,Passenger,1,0,1,30,31,3.23
September 30 2024,Dallas,TX,Truck,1,0,1,10,11,9.09
October 31 2019,Kitsap,WA,Passenger,1175,637,1812,182034,183846,0.99
February 28 2022,Chesapeake,VA,Passenger,2,1,3,396,399,0.75
December 31 2018,Charles,MD,Passenger,0,1,1,80,81,1.23
July 31 2019,Maui,HI,Passenger,2,0,2,46,48,4.17
January 31 2024,Kern,CA,Passenger,1,1,2,171,173,1.16
February 29 2024,Medina,TX,Passenger,1,0,1,5,6,16.67
April 30 2020,Nassau,NY,Passenger,5,0,5,39,44,11.36
December 31 2020,Skagit,WA,Passenger,498,237,735,91332,92067,0.8
July 31 2024,Wichita,TX,Passenger,1,0,1,28,29,3.45
January 31 2021,Randolph,NC,Passenger,1,0,1,6,7,14.29
June 30 2024,Yakima,WA,Truck,17,0,17,60890,60907,0.03
August 31 2022,Franklin,WA,Passenger,223,113,336,61842,62178,0.54
June 30 2019,Kern,CA,Passenger,0,1,1,222,223,0.45
November 30 2023,Harrison,MS,Passenger,1,0,1,39,40,2.5
February 28 2022,El Dorado,CA,Passenger,1,0,1,32,33,3.03
April 30 2020,Contra Costa,CA,Passenger,3,2,5,318,323,1.55
March 31 2023,Pend Oreille,WA,Truck,0,0,0,5579,5579,0
October 31 2024,Rockingham,NH,Passenger,1,0,1,14,15,6.67
August 31 2024,Kent,RI,Truck,1,0,1,3,4,25
January 31 2020,Lincoln,WA,Passenger,1,11,12,7784,7796,0.15
December 31 2023,Kings,CA,Passenger,5,2,7,264,271,2.58
April 30 2023,District of Columbia,DC,Passenger,2,0,2,155,157,1.27
October 31 2018,Montgomery,AL,Passenger,1,0,1,49,50,2
August 31 2021,Gwinnett,GA,Passenger,1,0,1,67,68,1.47
July 31 2019,Clallam,WA,Truck,1,0,1,21811,21812,0
December 31 2023,Marion,OR,Passenger,1,0,1,63,64,1.56
November 30 2019,Kitsap,WA,Passenger,1188,641,1829,182111,183940,0.99
June 30 2020,Riverside,CA,Passenger,5,1,6,656,662,0.91
December 31 2021,Grays Harbor,WA,Truck,0,0,0,21373,21373,0
December 31 2017,Hardin,KY,Passenger,0,1,1,117,118,0.85
January 31 2022,Burlington,NJ,Passenger,0,1,1,111,112,0.89
January 31 2020,Pueblo,CO,Passenger,1,0,1,30,31,3.23
December 31 2017,Snohomish,WA,Passenger,2014,1041,3055,516762,519817,0.59
July 31 2019,Skagit,WA,Truck,1,0,1,32513,32514,0
September 30 2024,Duval,FL,Passenger,2,1,3,192,195,1.54
June 30 2021,Boulder,CO,Passenger,1,1,2,55,57,3.51
July 31 2024,El Dorado,CA,Passenger,2,0,2,18,20,10
June 30 2024,Hudson,NJ,Passenger,2,0,2,23,25,8
December 31 2020,Orange,NC,Passenger,1,0,1,12,13,7.69
June 30 2023,Marion,IN,Passenger,1,0,1,36,37,2.7
February 28 2025,Currituck,NC,Passenger,1,0,1,16,17,5.88
May 31 2024,New Castle,DE,Passenger,1,0,1,16,17,5.88
November 30 2022,Hanover,VA,Passenger,1,0,1,3,4,25
March 31 2017,Snohomish,WA,Passenger,1655,848,2503,513255,515758,0.49
December 31 2020,Ferry,WA,Truck,0,0,0,3608,3608,0
August 31 2020,Arlington,VA,Passenger,0,2,2,157,159,1.26
April 30 2018,Sangamon,IL,Passenger,1,0,1,11,12,8.33
November 30 2022,Spokane,WA,Passenger,1888,906,2794,323535,326329,0.86
March 31 2021,Utah,UT,Passenger,0,1,1,139,140,0.71
July 31 2020,Oldham,KY,Passenger,0,1,1,5,6,16.67
September 30 2023,Penobscot,ME,Passenger,0,1,1,6,7,14.29
November 30 2021,San Mateo,CA,Passenger,3,0,3,99,102,2.94
March 31 2017,Douglas,OR,Passenger,0,1,1,77,78,1.28
October 31 2021,Harris,TX,Passenger,1,2,3,229,232,1.29
October 31 2019,St. Mary's,MD,Passenger,1,0,1,222,223,0.45
April 30 2017,Nassau,NY,Passenger,0,1,1,40,41,2.44
June 30 2020,Skamania,WA,Truck,0,0,0,4011,4011,0
October 31 2018,New Haven,CT,Passenger,0,1,1,46,47,2.13
April 30 2023,Benton,WA,Passenger,1088,549,1637,135308,136945,1.2
March 31 2017,Cowlitz,WA,Passenger,51,48,99,69285,69384,0.14
June 30 2021,Lincoln,WA,Passenger,5,13,18,7728,7746,0.23
March 31 2021,Pend Oreille,WA,Passenger,12,6,18,9271,9289,0.19
July 31 2023,Mohave,AZ,Passenger,1,0,1,42,43,2.33
January 31 2017,Grays Harbor,WA,Truck,0,0,0,19856,19856,0
July 31 2018,Dale,AL,Passenger,0,1,1,58,59,1.69
March 31 2023,Charles,MD,Passenger,1,1,2,59,61,3.28
August 31 2017,Volusia,FL,Passenger,0,1,1,47,48,2.08
July 31 2023,Isle of Wight,VA,Passenger,0,1,1,18,19,5.26
August 31 2018,Pacific,WA,Passenger,19,22,41,15665,15706,0.26
August 31 2019,Monterey,CA,Passenger,1,1,2,194,196,1.02
August 31 2017,Howard,MD,Passenger,0,2,2,90,92,2.17
October 31 2020,Ferry,WA,Truck,0,0,0,3597,3597,0
April 30 2024,,,Passenger,3,2,5,250,255,1.96
May 31 2022,Placer,CA,Passenger,2,0,2,81,83,2.41
July 31 2018,Richland,SC,Passenger,0,1,1,169,170,0.59
October 31 2023,Norfolk,VA,Passenger,1,1,2,262,264,0.76
December 31 2023,Asotin,WA,Truck,0,0,0,6586,6586,0
June 30 2020,Muskogee,OK,Passenger,0,1,1,1,2,50
July 31 2020,Goochland,VA,Passenger,3,1,4,290,294,1.36
October 31 2021,Fairfax,VA,Passenger,5,3,8,707,715,1.12
December 31 2021,Ventura,CA,Passenger,2,3,5,283,288,1.74
June 30 2019,Klickitat,WA,Truck,0,0,0,8239,8239,0
February 28 2025,Macomb,MI,Passenger,4,0,4,12,16,25
February 28 2021,Mercer,NJ,Passenger,0,1,1,10,11,9.09
June 30 2024,Collin,TX,Passenger,3,0,3,42,45,6.67
May 31 2019,Sumter,FL,Passenger,0,1,1,10,11,9.09
February 28 2025,New Haven,CT,Passenger,0,2,2,14,16,12.5
July 31 2020,RÃ­o Grande,PR,Passenger,1,0,1,0,1,100
September 30 2023,San Juan,WA,Passenger,654,186,840,13746,14586,5.76
February 29 2024,Spokane,WA,Passenger,3037,1464,4501,320432,324933,1.39
November 30 2019,Wahkiakum,WA,Passenger,4,3,7,3038,3045,0.23
August 31 2017,Lane,OR,Passenger,0,1,1,228,229,0.44
May 31 2021,Richland,SC,Passenger,0,1,1,144,145,0.69
September 30 2023,Grant,WA,Truck,13,0,13,28080,28093,0.05
July 31 2024,Muscogee,GA,Passenger,2,2,4,92,96,4.17
January 31 2023,Douglas,NE,Passenger,3,2,5,39,44,11.36
March 31 2023,Harford,MD,Passenger,1,1,2,47,49,4.08
November 30 2022,Madison,IL,Passenger,1,0,1,17,18,5.56
March 31 2020,Garfield,WA,Truck,0,0,0,974,974,0
January 31 2025,Pierce,WA,Truck,568,0,568,130195,130763,0.43
June 30 2024,Okanogan,WA,Passenger,185,87,272,26022,26294,1.03
September 30 2021,Island,WA,Passenger,661,327,988,62896,63884,1.55
May 31 2023,Yakima,WA,Passenger,482,248,730,165718,166448,0.44
June 30 2023,Norfolk,VA,Passenger,2,2,4,278,282,1.42
October 31 2019,Greene,MO,Passenger,0,1,1,36,37,2.7
May 31 2023,Spokane,WA,Truck,38,0,38,101562,101600,0.04
August 31 2024,Jefferson,WA,Passenger,772,315,1087,23920,25007,4.35
March 31 2020,Harford,MD,Passenger,0,1,1,63,64,1.56
April 30 2023,Mason,WA,Passenger,416,201,617,46263,46880,1.32
June 30 2018,Hardin,KY,Passenger,0,1,1,118,119,0.84
May 31 2019,Sangamon,IL,Passenger,1,0,1,7,8,12.5
February 28 2018,Island,WA,Truck,0,0,0,20808,20808,0
July 31 2024,Pacific,WA,Truck,11,0,11,7785,7796,0.14
August 31 2023,Allegheny,PA,Passenger,1,0,1,68,69,1.45
July 31 2022,Cowlitz,WA,Truck,2,0,2,28448,28450,0.01
October 31 2023,Sonoma,CA,Passenger,2,1,3,62,65,4.62
February 28 2023,Gwinnett,GA,Passenger,1,0,1,60,61,1.64
July 31 2023,Pierce,WA,Truck,167,0,167,136349,136516,0.12
July 31 2020,Adams,WA,Truck,0,0,0,5280,5280,0
September 30 2017,Cowlitz,WA,Truck,0,0,0,28040,28040,0
September 30 2018,Santa Rosa,FL,Passenger,1,0,1,91,92,1.09
January 31 2024,El Paso,TX,Passenger,2,2,4,302,306,1.31
November 30 2024,Kootenai,ID,Passenger,2,2,4,74,78,5.13
October 31 2024,Osceola,FL,Passenger,1,0,1,18,19,5.26
January 31 2024,Chatham,NC,Passenger,1,0,1,4,5,20
March 31 2018,Snohomish,WA,Passenger,2131,1148,3279,517755,521034,0.63
June 30 2023,Kittitas,WA,Passenger,355,106,461,29310,29771,1.55
January 31 2019,Washington,OR,Passenger,0,1,1,491,492,0.2
June 30 2019,Clackamas,OR,Passenger,1,1,2,228,230,0.87
March 31 2024,Platte,MO,Passenger,2,0,2,17,19,10.53
April 30 2022,Danville,VA,Passenger,1,0,1,0,1,100
February 28 2023,Whatcom,WA,Passenger,2219,821,3040,148369,151409,2.01
April 30 2021,Maricopa,AZ,Passenger,7,7,14,1456,1470,0.95
September 30 2019,,,Passenger,7,2,9,416,425,2.12
June 30 2021,Allen,IN,Passenger,1,0,1,20,21,4.76
January 31 2017,Ventura,CA,Passenger,0,2,2,406,408,0.49
November 30 2024,Kittitas,WA,Truck,43,0,43,14505,14548,0.3
February 28 2023,Marion,IN,Passenger,1,0,1,36,37,2.7
May 31 2024,Sedgwick,KS,Passenger,0,1,1,54,55,1.82
June 30 2021,Hampshire,MA,Passenger,1,0,1,9,10,10
April 30 2023,Beaufort,SC,Passenger,1,0,1,32,33,3.03
September 30 2019,Wilson,TX,Passenger,0,1,1,7,8,12.5
February 29 2020,Lake,CA,Passenger,0,1,1,11,12,8.33
May 31 2017,Kittitas,WA,Passenger,23,17,40,27351,27391,0.15
January 31 2019,Pierce,WA,Passenger,1581,1417,2998,539435,542433,0.55
May 31 2019,Kitsap,WA,Truck,1,0,1,53992,53993,0
February 28 2018,Ventura,CA,Passenger,0,1,1,350,351,0.28
September 30 2019,Greene,MO,Passenger,0,1,1,37,38,2.63
December 31 2021,Clallam,WA,Passenger,383,237,620,50338,50958,1.22
December 31 2017,Clallam,WA,Passenger,99,88,187,49059,49246,0.38
April 30 2021,Okaloosa,FL,Passenger,0,1,1,136,137,0.73
June 30 2019,Prince George's,MD,Passenger,1,1,2,187,189,1.06
May 31 2021,Clackamas,OR,Passenger,2,0,2,194,196,1.02
November 30 2022,Plaquemines,LA,Passenger,1,1,2,20,22,9.09
January 31 2019,Calvert,MD,Passenger,0,1,1,87,88,1.14
June 30 2019,Kent,MI,Passenger,0,1,1,26,27,3.7
November 30 2024,Pierce,WA,Passenger,13065,3900,16965,514955,531920,3.19
September 30 2023,Pend Oreille,WA,Passenger,31,16,47,8825,8872,0.53
December 31 2017,Pacific,WA,Passenger,15,13,28,15396,15424,0.18
June 30 2021,King,WA,Truck,6,1,7,184493,184500,0
September 30 2022,Spokane,WA,Truck,12,0,12,101711,101723,0.01
February 29 2024,Allen,IN,Passenger,1,1,2,10,12,16.67
April 30 2023,Anchorage,AK,Passenger,1,0,1,119,120,0.83
May 31 2024,Orange,NC,Passenger,1,0,1,4,5,20
November 30 2020,Hampshire,MA,Passenger,1,0,1,11,12,8.33
March 31 2019,King,WA,Truck,6,1,7,181675,181682,0
December 31 2019,Clark,WA,Truck,0,0,0,81275,81275,0
October 31 2024,San Diego,CA,Passenger,26,7,33,1826,1859,1.78
October 31 2018,Essex,MA,Passenger,1,0,1,28,29,3.45
February 28 2019,Kalamazoo,MI,Passenger,1,0,1,18,19,5.26
May 31 2023,Fairfax,VA,Truck,1,0,1,87,88,1.14
November 30 2017,Palm Beach,FL,Passenger,0,2,2,95,97,2.06
June 30 2024,Prince George,VA,Passenger,2,0,2,47,49,4.08
October 31 2019,Ramsey,MN,Passenger,1,0,1,50,51,1.96
March 31 2021,Kern,CA,Passenger,0,1,1,213,214,0.47
June 30 2024,Mason,WA,Truck,24,0,24,20467,20491,0.12
April 30 2018,Alameda,CA,Passenger,0,1,1,363,364,0.27
February 29 2020,Kootenai,ID,Passenger,1,2,3,238,241,1.24
May 31 2023,Pima,AZ,Passenger,2,0,2,238,240,0.83
May 31 2017,Fulton,GA,Passenger,1,0,1,118,119,0.84
February 28 2021,Polk,FL,Passenger,1,0,1,72,73,1.37
January 31 2024,Geary,KS,Passenger,1,0,1,76,77,1.3
July 31 2024,Lexington,SC,Passenger,1,0,1,15,16,6.25
January 31 2024,Providence,RI,Passenger,1,0,1,18,19,5.26
January 31 2020,Mason,WA,Passenger,150,132,282,47601,47883,0.59
November 30 2021,Grant,WA,Passenger,131,96,227,66878,67105,0.34
September 30 2022,Burlington,NJ,Passenger,0,2,2,96,98,2.04
April 30 2022,Honolulu,HI,Passenger,5,5,10,433,443,2.26
July 31 2022,Bell,TX,Passenger,1,0,1,329,330,0.3
December 31 2021,Nueces,TX,Passenger,1,1,2,76,78,2.56
December 31 2018,Wise,TX,Passenger,1,0,1,4,5,20
July 31 2021,Thurston,WA,Passenger,1654,888,2542,197324,199866,1.27
July 31 2023,Pinal,AZ,Passenger,1,1,2,101,103,1.94
May 31 2021,Prince George's,MD,Passenger,2,1,3,159,162,1.85
September 30 2023,Jefferson,NY,Passenger,2,0,2,198,200,1
November 30 2023,Calvert,MD,Passenger,1,1,2,79,81,2.47
August 31 2021,Rogers,OK,Passenger,1,0,1,8,9,11.11
February 28 2021,San Diego,CA,Passenger,15,3,18,2700,2718,0.66
April 30 2021,Platte,MO,Passenger,1,0,1,19,20,5
August 31 2024,Whitman,WA,Truck,11,0,11,8617,8628,0.13
October 31 2023,New Haven,CT,Passenger,1,2,3,25,28,10.71
September 30 2019,Harrison,MS,Passenger,1,0,1,64,65,1.54
March 31 2023,Santa Cruz,CA,Passenger,1,0,1,23,24,4.17
December 31 2021,Currituck,NC,Passenger,1,0,1,24,25,4
August 31 2021,Shelby,OH,Passenger,0,1,1,4,5,20
December 31 2023,Spokane,WA,Passenger,2852,1399,4251,322350,326601,1.3
July 31 2019,Norfolk,VA,Passenger,2,2,4,338,342,1.17
November 30 2020,Kings,NY,Passenger,1,0,1,71,72,1.39
November 30 2020,Hudson,NJ,Passenger,1,0,1,41,42,2.38
October 31 2024,Lewis,WA,Passenger,545,420,965,59618,60583,1.59
July 31 2023,Harris,TX,Passenger,2,2,4,185,189,2.12
August 31 2019,Howard,MD,Passenger,0,1,1,82,83,1.2
July 31 2020,Placer,CA,Passenger,2,0,2,98,100,2
February 29 2020,Suffolk,MA,Passenger,0,1,1,40,41,2.44
July 31 2023,Mercer,NJ,Passenger,0,1,1,12,13,7.69
January 31 2024,Onslow,NC,Passenger,0,1,1,132,133,0.75
September 30 2024,San Juan,WA,Passenger,777,222,999,13515,14514,6.88
February 28 2023,El Paso,CO,Passenger,4,6,10,588,598,1.67
January 31 2021,El Paso,TX,Passenger,2,0,2,403,405,0.49
October 31 2017,Franklin,OH,Passenger,0,1,1,115,116,0.86
January 31 2022,Onslow,NC,Passenger,0,1,1,164,165,0.61
October 31 2024,Orange,FL,Passenger,4,0,4,40,44,9.09
February 28 2023,Pend Oreille,WA,Passenger,26,13,39,8900,8939,0.44
March 31 2021,Dallas,TX,Passenger,1,0,1,185,186,0.54
January 31 2020,Okanogan,WA,Truck,0,0,0,16551,16551,0
February 29 2020,Prince William,VA,Passenger,2,4,6,236,242,2.48
December 31 2018,Alameda,CA,Passenger,0,2,2,337,339,0.59
June 30 2020,Penobscot,ME,Passenger,0,2,2,14,16,12.5
April 30 2023,Chelan,WA,Passenger,602,154,756,54114,54870,1.38
June 30 2020,Pend Oreille,WA,Passenger,7,6,13,9234,9247,0.14
July 31 2017,Columbia,WA,Truck,0,0,0,1534,1534,0
March 31 2022,Camden,NJ,Passenger,0,1,1,14,15,6.67
June 30 2017,Okaloosa,FL,Passenger,1,0,1,182,183,0.55
December 31 2021,Stafford,VA,Passenger,2,1,3,105,108,2.78
November 30 2023,Plaquemines,LA,Passenger,1,1,2,18,20,10
May 31 2022,Lexington,SC,Passenger,1,0,1,24,25,4
October 31 2019,Franklin,MA,Passenger,0,1,1,2,3,33.33
January 31 2017,Lake,IL,Passenger,1,0,1,191,192,0.52
November 30 2022,Wahkiakum,WA,Truck,1,0,1,1801,1802,0.06
November 30 2020,Botetourt,VA,Passenger,1,0,1,0,1,100
December 31 2019,Island,WA,Passenger,373,253,626,63479,64105,0.98
December 31 2022,Maricopa,AZ,Passenger,18,5,23,1037,1060,2.17
August 31 2019,Sacramento,CA,Passenger,0,1,1,305,306,0.33
April 30 2017,Ventura,CA,Passenger,0,1,1,376,377,0.27
